feature,gain_importance,gain_percentage
club_Other,11.563239097595215,23.14849021223429
Matchs_played,4.082920551300049,8.173613433173339
is_Goalkeeper,3.021272897720337,6.0482971519557
club_Newcastle Utd,2.961636781692505,5.928911395377076
club_Manchester City,2.1777913570404053,4.359728401985778
Goals,2.1590468883514404,4.322203782256149
club_Chelsea,2.0414271354675293,4.0867403731353535
Age,1.8593136072158813,3.722166641617042
club_West Ham,1.7422504425048828,3.487817468374635
club_Leicester City,1.6870083808898926,3.377228185233011
club_Manchester Utd,1.5843170881271362,3.1716501144747307
club_Liverpool,1.518218755722046,3.0393276235351068
is_Forward,1.4758583307266235,2.954526135377991
club_Tottenham,1.3366236686706543,2.6757917613325173
club_Wolves,1.3329675197601318,2.6684725035920716
Minutes_played,1.2496156692504883,2.5016101322954882
Nation_encoded,1.1685539484024048,2.339332379859411
Assists,1.0879056453704834,2.1778822500462174
is_Defender,1.0685943365097046,2.139222870924485
is_Midfielder,0.9886218309402466,1.9791256224980083
Goals_per_minute_log,0.9448388814926147,1.8914763774900045
Weight,0.8960862159729004,1.7938782398852788
Assists_per_minute_log,0.7642600536346436,1.529974968245918
Height,0.7517607808113098,1.5049526287293755
club_Arsenal,0.4883248805999756,0.9775793463710251
